GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
8600000US31058,31058,ZCTA5 31058,47785,11194
8600000US31060,31060,ZCTA5 31060,24590,7406
8600000US31061,31061,ZCTA5 31061,36459,1834
8600000US31062,31062,ZCTA5 31062,-,**
8600000US31063,31063,ZCTA5 31063,24128,3419
8600000US31064,31064,ZCTA5 31064,42159,4401
8600000US31065,31065,ZCTA5 31065,21917,13790
8600000US31066,31066,ZCTA5 31066,35500,23434
8600000US31067,31067,ZCTA5 31067,40833,29429
8600000US31068,31068,ZCTA5 31068,36650,6579
8600000US31069,31069,ZCTA5 31069,53988,5192
8600000US31070,31070,ZCTA5 31070,52835,9116
8600000US31071,31071,ZCTA5 31071,34018,9152
8600000US31072,31072,ZCTA5 31072,28750,10046
8600000US31075,31075,ZCTA5 31075,50759,7723
8600000US31076,31076,ZCTA5 31076,27073,6446
8600000US31077,31077,ZCTA5 31077,31591,11832
8600000US31078,31078,ZCTA5 31078,20943,4384
8600000US31079,31079,ZCTA5 31079,37109,7083
8600000US31081,31081,ZCTA5 31081,9516,33018
8600000US31082,31082,ZCTA5 31082,28836,2405
8600000US31083,31083,ZCTA5 31083,31250,14940
8600000US31084,31084,ZCTA5 31084,"2,500-",***
8600000US31085,31085,ZCTA5 31085,53750,14940
8600000US31087,31087,ZCTA5 31087,24116,4274
8600000US31088,31088,ZCTA5 31088,57440,3966
8600000US31089,31089,ZCTA5 31089,34297,7203
8600000US31090,31090,ZCTA5 31090,29028,7711
8600000US31091,31091,ZCTA5 31091,27500,8684
8600000US31092,31092,ZCTA5 31092,30114,4721
8600000US31093,31093,ZCTA5 31093,37375,2866
8600000US31094,31094,ZCTA5 31094,52188,33495
8600000US31096,31096,ZCTA5 31096,30214,3175
8600000US31097,31097,ZCTA5 31097,58350,26715
8600000US31098,31098,ZCTA5 31098,52500,8485
8600000US31201,31201,ZCTA5 31201,20569,3596
8600000US31204,31204,ZCTA5 31204,29201,3321
8600000US31206,31206,ZCTA5 31206,23794,1364
8600000US31207,31207,ZCTA5 31207,-,**
8600000US31210,31210,ZCTA5 31210,59052,4208
8600000US31211,31211,ZCTA5 31211,41530,5683
8600000US31213,31213,ZCTA5 31213,-,**
8600000US31216,31216,ZCTA5 31216,62042,5617
8600000US31217,31217,ZCTA5 31217,27941,2452
8600000US31220,31220,ZCTA5 31220,55940,5410
8600000US31301,31301,ZCTA5 31301,35196,5775
8600000US31302,31302,ZCTA5 31302,62913,6173
8600000US31303,31303,ZCTA5 31303,63846,33545
8600000US31304,31304,ZCTA5 31304,-,**
8600000US31305,31305,ZCTA5 31305,37750,8057
8600000US31307,31307,ZCTA5 31307,16250,70681
8600000US31308,31308,ZCTA5 31308,47129,8146
8600000US31309,31309,ZCTA5 31309,47333,31459
8600000US31312,31312,ZCTA5 31312,57006,4173
